# hjd                mag        mag_err  
  2457790.76751157   0.0065     0.00294  
  2457790.76766204   0.01963    0.00296  
  2457790.7678125    0.01673    0.00295  
  2457790.76796296   0.01248    0.00295  
  2457790.76811343   -0.0021    0.00292  
  2457790.76825231   0.01664    0.00295  
  2457790.76840278   0.00963    0.00294  
  2457790.76855324   0.01871    0.00295  
  2457790.7687037    0.00965    0.00294  
  2457790.76885417   0.0147     0.00295  
  2457790.76899306   0.00195    0.00293  
  2457790.76914352   0.01366    0.00295  
  2457790.76929398   0.00511    0.00294  
  2457790.76944444   0.01299    0.00295  
  2457790.76959491   0.01652    0.00295  
  2457790.76974537   0.00937    0.00294  
  2457790.76988426   0.00501    0.00294  
  2457790.77003472   0.01154    0.00294  
  2457790.77018519   0.00592    0.00294  
  2457790.77033565   0.00924    0.00294  
  2457790.77048611   0.01895    0.00296  
  2457790.770625     0.01468    0.00295  
  2457790.77077546   0.01726    0.00295  
  2457790.77092593   0.01457    0.00295  
  2457790.77107639   0.01633    0.00295  
  2457790.77122685   0.0201     0.00296  
  2457790.77136574   0.00564    0.00294  
  2457790.7715162    0.00863    0.00294  
  2457790.77167824   0.01241    0.00295  
  2457790.7718287    0.02102    0.00296  
  2457790.77197917   0.01211    0.00295  
  2457790.77212963   0.00855    0.00294  
  2457790.77228009   0.0153     0.00295  
  2457790.77241898   0.01326    0.00295  
  2457790.77256944   0.01       0.00294  
  2457790.77271991   0.01137    0.00294  
  2457790.77287037   0.013      0.00295  
  2457790.77302083   0.01121    0.00294  
  2457790.7731713    0.01807    0.00295  
  2457790.77331019   0.01497    0.00295  
  2457790.77346065   0.01643    0.00295  
  2457790.77361111   0.00317    0.00293  
  2457790.77376157   0.00564    0.00294  
  2457790.77391204   0.0184     0.00296  
  2457790.77405093   0.01226    0.00295  
  2457790.77420139   0.02401    0.00297  
  2457790.77435185   0.0108     0.00295  
  2457790.77450231   0.01494    0.00295  
  2457790.77465278   0.01409    0.00295  
  2457790.77480324   0.01076    0.00295  
  2457790.77494213   0.00713    0.00295  
  2457790.77509259   -0.00443   0.00293  
  2457790.77524306   0.00589    0.00294  
  2457790.77539352   0.02143    0.00297  
  2457790.77554398   0.00225    0.00294  
  2457790.77568287   0.0239     0.00297  
  2457790.77583333   0.01754    0.00296  
  2457790.7759838    0.01358    0.00295  
  2457790.77613426   -7.3E-4    0.00293  
  2457790.77628472   0.0102     0.00295  
  2457790.77643519   0.01642    0.00296  
  2457790.77657407   0.01973    0.00296  
  2457790.77672454   0.01786    0.00296  
  2457790.776875     0.02505    0.00297  
  2457790.77702546   0.00907    0.00295  
  2457790.77717593   0.00795    0.00294  
  2457790.77731481   0.01632    0.00296  
  2457790.77746528   0.00607    0.00294  
  2457790.77761574   0.01163    0.00295  
  2457790.7777662    0.0067     0.00294  
  2457790.77791667   0.01577    0.00296  
  2457790.77806713   0.01767    0.00296  
  2457790.77820602   0.00999    0.00295  
  2457790.77835648   0.0069     0.00295  
  2457790.77850694   0.01557    0.00296  
  2457790.77865741   0.01231    0.00295  
  2457790.77880787   0.0112     0.00295  
  2457790.77895833   0.01717    0.00296  
  2457790.77909722   0.0164     0.00296  
  2457790.77924769   0.0106     0.00295  
  2457790.77939815   -8.6E-4    0.00293  
  2457790.77954861   0.00152    0.00293  
  2457790.7796875    0.00727    0.00294  
  2457790.77983796   0.01462    0.00295  
  2457790.77998843   0.01317    0.00295  
  2457790.78013889   0.01775    0.00296  
  2457790.78028935   0.017      0.00296  
  2457790.78042824   0.00802    0.00294  
  2457790.7805787    6.3E-4     0.00293  
  2457790.78072917   0.0166     0.00296  
  2457790.78087963   0.0138     0.00295  
  2457790.78103009   0.01525    0.00296  
  2457790.78118056   0.00599    0.00294  
  2457790.78133102   0.00844    0.00295  
  2457790.78146991   0.0079     0.00294  
  2457790.78162037   0.01093    0.00295  
  2457790.78177083   0.00819    0.00295  
  2457790.7819213    0.011      0.00295  
  2457790.78206018   0.01095    0.00295  
  2457790.78221065   0.01603    0.00296  
  2457790.78236111   0.00268    0.00294  
  2457790.78251157   0.00965    0.00295  
  2457790.78266204   -0.00199   0.00293  
  2457790.78280093   0.01119    0.00295  
  2457790.78295139   0.018      0.00297  
  2457790.78310185   0.01084    0.00295  
  2457790.78325231   0.00967    0.00295  
  2457790.78340278   0.0028     0.00294  
  2457790.78355324   0.00352    0.00294  
  2457790.78369213   0.02179    0.00297  
  2457790.78384259   0.01092    0.00296  
  2457790.78399306   0.0051     0.00295  
  2457790.78414352   0.00182    0.00294  
  2457790.78428241   0.00661    0.00295  
  2457790.78443287   -0.00116   0.00293  
  2457790.78458333   0.00769    0.00295  
  2457790.7847338    0.00674    0.00295  
  2457790.78488426   0.00866    0.00295  
  2457790.78502315   0.01485    0.00296  
  2457790.78517361   0.02087    0.00297  
  2457790.78532407   0.01723    0.00296  
  2457790.78547454   0.00552    0.00294  
  2457790.785625     0.01471    0.00296  
  2457790.78577546   0.00674    0.00294  
  2457790.78591435   0.00669    0.00295  
  2457790.78606481   0.00915    0.00295  
  2457790.78621528   0.0104     0.00295  
  2457790.78636574   0.01084    0.00295  
  2457790.78650463   0.01593    0.00295  
  2457790.78665509   0.00677    0.00294  
  2457790.78680556   0.00886    0.00295  
  2457790.78695602   0.00592    0.00294  
  2457790.78710648   0.00798    0.00295  
  2457790.78725694   0.01358    0.00295  
  2457790.78740741   8.9E-4     0.00293  
  2457790.78755787   0.00708    0.00295  
  2457790.78770833   0.00851    0.00295  
  2457790.78784722   0.0067     0.00294  
  2457790.78799769   0.01154    0.00295  
  2457790.78814815   0.00653    0.00294  
  2457790.78829861   0.00629    0.00295  
  2457790.78844907   0.0114     0.00295  
  2457790.78858796   -0.00434   0.00293  
  2457790.78873843   0.0093     0.00295  
  2457790.78888889   0.00794    0.00295  
  2457790.78903935   0.00868    0.00295  
  2457790.78918981   0.00578    0.00295  
  2457790.7893287    0.00107    0.00294  
  2457790.78947917   0.00771    0.00295  
  2457790.78962963   0.00864    0.00295  
  2457790.78978009   -9.0E-5    0.00294  
  2457790.78993056   0.01234    0.00296  
  2457790.79008102   0.00572    0.00294  
  2457790.79021991   0.00889    0.00295  
  2457790.79037037   0.01756    0.00296  
  2457790.79052083   0.01014    0.00295  
  2457790.7906713    -0.00235   0.00293  
  2457790.79081019   0.0086     0.00295  
  2457790.79096065   0.01658    0.00296  
  2457790.79111111   0.00196    0.00294  
  2457790.79126157   -8.7E-4    0.00293  
  2457790.79141204   0.01389    0.00296  
  2457790.79155093   0.00262    0.00294  
  2457790.79170139   0.01394    0.00296  
  2457790.79185185   0.00528    0.00295  
  2457790.79200231   0.01392    0.00296  
  2457790.79215278   -6.8E-4    0.00294  
  2457790.79229167   0.00368    0.00294  
  2457790.79244213   0.00404    0.00294  
  2457790.79259259   0.00671    0.00295  
  2457790.79274306   0.00667    0.00295  
  2457790.79289352   -0.00129   0.00293  
  2457790.79304398   -0.00451   0.00293  
  2457790.79318287   0.01188    0.00296  
  2457790.79333333   -4.0E-4    0.00293  
  2457790.7934838    0.00141    0.00294  
  2457790.79363426   -0.0036    0.00293  
  2457790.79377315   -8.5E-4    0.00294  
  2457790.79392361   0.00699    0.00295  
  2457790.79407407   -0.0021    0.00293  
  2457790.79422454   0.00506    0.00295  
  2457790.794375     0.00506    0.00295  
  2457790.79452546   -0.00328   0.00293  
  2457790.79467593   0.01206    0.00296  
  2457790.79481481   0.00481    0.00295  
  2457790.79496528   0.00582    0.00295  
  2457790.79511574   0.00355    0.00294  
  2457790.7952662    0.00358    0.00294  
  2457790.79541667   -0.00104   0.00294  
  2457790.79555556   0.01352    0.00296  
  2457790.79570602   0.00607    0.00295  
  2457790.79585648   -0.00116   0.00294  
  2457790.79600694   -5.7E-4    0.00294  
  2457790.79615741   -7.9E-4    0.00294  
  2457790.7962963    -0.0012    0.00294  
  2457790.79645833   0.00806    0.00295  
  2457790.79659722   0.00581    0.00295  
  2457790.79674769   0.00588    0.00295  
  2457790.79689815   0.0027     0.00294  
  2457790.79704861   0.0056     0.00295  
  2457790.7971875    0.00321    0.00295  
  2457790.79733796   0.00857    0.00295  
  2457790.79748843   0.00518    0.00295  
  2457790.79763889   -0.00299   0.00293  
  2457790.79778935   0.00126    0.00294  
  2457790.79792824   0.00704    0.00295  
  2457790.7980787    7.4E-4     0.00294  
  2457790.79822917   -0.00283   0.00294  
  2457790.79837963   0.00657    0.00295  
  2457790.79851852   0.00473    0.00295  
  2457790.79868056   0.00124    0.00294  
  2457790.79881944   0.00366    0.00295  
  2457790.79896991   -0.00261   0.00294  
  2457790.79912037   0.00432    0.00294  
  2457790.79927083   0.00252    0.00294  
  2457790.79940972   -0.00534   0.00293  
  2457790.79956019   -4.3E-4    0.00294  
  2457790.79971065   0.00403    0.00295  
  2457790.79986111   0.00494    0.00295  
  2457790.80001157   0.00305    0.00294  
  2457790.80015046   0.00814    0.00295  
  2457790.80030093   0.00501    0.00295  
  2457790.80045139   -0.00497   0.00293  
  2457790.80060185   0.00543    0.00295  
  2457790.80075231   0.00238    0.00294  
  2457790.80090278   -0.00111   0.00294  
  2457790.80105324   -0.00203   0.00293  
  2457790.8012037    -0.00385   0.00294  
  2457790.80135417   0.00615    0.00295  
  2457790.80149306   0.00318    0.00295  
  2457790.80164352   0.0021     0.00295  
  2457790.80179398   -3.7E-4    0.00294  
  2457790.80194444   0.0028     0.00294  
  2457790.80209491   0.00607    0.00295  
  2457790.8022338    0.00242    0.00294  
  2457790.80238426   0.00358    0.00294  
  2457790.80253472   0.00448    0.00295  
  2457790.80268519   0.0112     0.00296  
  2457790.80283565   -0.00332   0.00293  
  2457790.80297454   -0.0065    0.00293  
  2457790.80313657   -0.00771   0.00292  
  2457790.80327546   0.00372    0.00294  
  2457790.80342593   0.00385    0.00294  
  2457790.80357639   0.0064     0.00294  
  2457790.80372685   7.8E-4     0.00294  
  2457790.80387732   0.00503    0.00294  
  2457790.8040162    0.00574    0.00294  
  2457790.80416667   0.0018     0.00294  
  2457790.80431713   0.00673    0.00295  
  2457790.80446759   -0.00646   0.00293  
  2457790.80461806   0.00393    0.00294  
  2457790.80475694   0.00454    0.00294  
  2457790.80490741   -0.00411   0.00293  
  2457790.80505787   -0.01021   0.00292  
  2457790.80520833   0.00336    0.00294  
  2457790.8053588    -0.00102   0.00294  
  2457790.80550926   0.00353    0.00294  
  2457790.80564815   0.00286    0.00294  
  2457790.80579861   0.00251    0.00294  
  2457790.80594907   -0.00228   0.00293  
  2457790.80609954   -0.00323   0.00293  
  2457790.80625      0.00187    0.00294  
  2457790.80638889   0.00203    0.00294  
  2457790.80653935   0.00551    0.00295  
  2457790.80668981   -0.00104   0.00293  
  2457790.80684028   -0.00364   0.00293  
  2457790.80699074   -2.3E-4    0.00294  
  2457790.80712963   0.00237    0.00294  
  2457790.80728009   0.00677    0.00294  
  2457790.80743056   -0.00352   0.00293  
  2457790.80758102   0.0063     0.00295  
  2457790.80773148   -0.00169   0.00293  
  2457790.80788194   -0.00124   0.00293  
  2457790.80803241   0.00426    0.00294  
  2457790.80818287   0.00988    0.00295  
  2457790.80832176   -0.00212   0.00293  
  2457790.80847222   0.00896    0.00295  
  2457790.80862269   -0.00825   0.00292  
  2457790.80877315   -0.00445   0.00293  
  2457790.80891204   -0.00309   0.00293  
  2457790.8090625    0.00107    0.00294  
  2457790.80921296   -0.00206   0.00293  
  2457790.80936343   0.00389    0.00294  
  2457790.80951389   0.00237    0.00294  
  2457790.80965278   -0.00527   0.00292  
  2457790.80980324   -0.00165   0.00293  
  2457790.8099537    -0.00701   0.00292  
  2457790.81010417   0.0028     0.00293  
  2457790.81025463   -0.0016    0.00293  
  2457790.81040509   -0.00626   0.00292  
  2457790.81054398   3.4E-4     0.00293  
  2457790.81069444   0.00626    0.00294  
  2457790.81084491   -0.00266   0.00293  
  2457790.81099537   -0.00559   0.00292  
  2457790.81114583   0.00772    0.00294  
  2457790.8112963    -0.00216   0.00293  
  2457790.81143519   0.00682    0.00294  
  2457790.81158565   0.00379    0.00294  
  2457790.81173611   -0.00226   0.00293  
  2457790.81188657   -0.00287   0.00293  
  2457790.81203704   -0.0042    0.00293  
  2457790.8121875    0.00762    0.00294  
  2457790.81232639   -0.0032    0.00293  
  2457790.81247685   0.00131    0.00293  
  2457790.81262731   -0.00166   0.00293  
  2457790.81277778   -0.00367   0.00293  
  2457790.81292824   -0.00294   0.00293  
  2457790.81306713   0.01315    0.00295  
  2457790.81321759   -0.00196   0.00293  
  2457790.81336806   0.00301    0.00294  
  2457790.81351852   3.1E-4     0.00294  
  2457790.81365741   -0.00603   0.00293  
  2457790.81380787   0.01316    0.00295  
  2457790.81395833   -0.00931   0.00292  
  2457790.8141088    -0.00463   0.00293  
  2457790.81425926   0.00213    0.00294  
  2457790.81440972   -0.00382   0.00293  
  2457790.81454861   -0.00591   0.00292  
  2457790.81469907   0.00235    0.00294  
  2457790.81484954   -0.00147   0.00293  
  2457790.815        0.01025    0.00295  
  2457790.81515046   0.00197    0.00294  
  2457790.81528935   0.00221    0.00294  
  2457790.81543981   0.00613    0.00294  
  2457790.81560185   -0.00674   0.00292  
  2457790.81575231   0.00307    0.00294  
  2457790.81590278   0.00568    0.00294  
  2457790.81604167   -0.00675   0.00292  
  2457790.81619213   -0.00932   0.00292  
  2457790.81634259   0.0043     0.00294  
  2457790.81649306   0.00242    0.00294  
  2457790.81664352   -0.0086    0.00292  
  2457790.81679398   -0.00128   0.00293  
  2457790.81693287   0.00519    0.00294  
  2457790.81708333   0.0121     0.00295  
  2457790.8172338    0.00229    0.00294  
  2457790.81738426   0.01055    0.00295  
  2457790.81753472   0.00935    0.00295  
  2457790.81768519   0.00239    0.00294  
  2457790.81782407   0.0031     0.00294  
  2457790.81797454   0.00634    0.00294  
  2457790.818125     -0.00456   0.00293  
  2457790.81827546   0.00854    0.00295  
  2457790.81842593   -0.00202   0.00293  
  2457790.81857639   -0.00803   0.00292  
  2457790.81872685   0.01149    0.00295  
  2457790.81886574   -3.3E-4    0.00294  
  2457790.8190162    -0.0014    0.00293  
  2457790.81916667   -0.00768   0.00292  
  2457790.81931713   -0.00819   0.00292  
  2457790.81946759   -0.00255   0.00293  
  2457790.81960648   -0.00839   0.00292  
  2457790.81975694   0.00355    0.00294  
  2457790.81990741   9.5E-4     0.00294  
  2457790.82005787   0.00257    0.00294  
  2457790.82020833   0.00279    0.00294  
  2457790.82034722   -0.00824   0.00292  
  2457790.82049769   0.00294    0.00294  
  2457790.82064815   0.01218    0.00295  
  2457790.82079861   0.00363    0.00294  
  2457790.82094907   9.7E-4     0.00294  
  2457790.82109954   0.00474    0.00294  
  2457790.82123843   -0.00315   0.00293  
  2457790.82138889   -0.00279   0.00293  
  2457790.82153935   -1.0E-4    0.00293  
  2457790.82168981   -0.00366   0.00293  
  2457790.82184028   -0.00163   0.00293  
  2457790.82197917   -0.00734   0.00292  
  2457790.82212963   0.00105    0.00293  
  2457790.82228009   -0.00552   0.00293  
  2457790.82243056   0.00362    0.00294  
  2457790.82256944   0.00151    0.00294  
  2457790.82271991   0.00488    0.00294  
  2457790.82287037   -0.00291   0.00293  
  2457790.82302083   0.00656    0.00294  
  2457790.8231713    9.3E-4     0.00294  
  2457790.82332176   -0.00428   0.00293  
  2457790.82347222   0.00776    0.00295  
  2457790.82361111   -0.00851   0.00292  
  2457790.82376157   -0.00208   0.00293  
  2457790.82391204   0.00867    0.00295  
  2457790.8240625    -9.1E-4    0.00293  
  2457790.82421296   0.00126    0.00294  
  2457790.82436343   5.8E-4     0.00294  
  2457790.82451389   -0.00121   0.00293  
  2457790.82466435   7.9E-4     0.00294  
  2457790.82481481   0.00184    0.00294  
  2457790.8249537    0.00106    0.00294  
  2457790.82510417   2.0E-4     0.00294  
  2457790.82525463   9.9E-4     0.00294  
  2457790.82540509   -2.8E-4    0.00293  
  2457790.82555556   0.00305    0.00294  
  2457790.82570602   0.0044     0.00294  
  2457790.82584491   0.00593    0.00294  
  2457790.82599537   0.00163    0.00294  
  2457790.82614583   9.0E-5     0.00294  
  2457790.8262963    0.0073     0.00295  
  2457790.82644676   0.00777    0.00295  
  2457790.82658565   0.00239    0.00294  
  2457790.82673611   -0.00189   0.00293  
  2457790.82688657   0.00321    0.00294  
  2457790.82703704   8.7E-4     0.00294  
  2457790.82717593   0.00319    0.00294  
  2457790.82732639   3.7E-4     0.00294  
  2457790.82747685   -0.00768   0.00292  
  2457790.82762731   -8.8E-4    0.00293  
  2457790.82777778   -0.00554   0.00293  
  2457790.82792824   -0.00717   0.00292  
  2457790.82806713   -5.7E-4    0.00293  
  2457790.82821759   9.4E-4     0.00294  
  2457790.82836806   -0.00117   0.00293  
  2457790.82851852   0.00242    0.00294  
  2457790.82866898   0.00744    0.00295  
  2457790.82880787   -0.00369   0.00293  
  2457790.82895833   -1.7E-4    0.00293  
  2457790.8291088    -0.00219   0.00293  
  2457790.82925926   0.00405    0.00294  
  2457790.82939815   -0.00373   0.00293  
  2457790.82954861   -0.00228   0.00293  
  2457790.82969907   0.00551    0.00294  
  2457790.82984954   0.00472    0.00294  
  2457790.83         -0.0026    0.00293  
  2457790.83015046   -0.00149   0.00293  
  2457790.83028935   0.00457    0.00294  
  2457790.83043981   -0.00408   0.00293  
  2457790.83059028   -0.0027    0.00293  
  2457790.83074074   8.9E-4     0.00294  
  2457790.8308912    0.00129    0.00294  
  2457790.83103009   -0.00303   0.00293  
  2457790.83118056   0.00109    0.00294  
  2457790.83133102   0.00304    0.00294  
  2457790.83148148   0.00259    0.00294  
  2457790.83163194   -0.00173   0.00294  
  2457790.83177083   -0.00386   0.00293  
  2457790.8319213    -3.1E-4    0.00294  
  2457790.83207176   0.00692    0.00295  
  2457790.83222222   -3.7E-4    0.00294  
  2457790.83237268   0.00307    0.00295  
  2457790.83252315   0.00637    0.00295  
  2457790.83266204   0.00377    0.00295  
  2457790.8328125    -0.00504   0.00293  
  2457790.83296296   0.00473    0.00295  
  2457790.83311343   -0.00431   0.00294  
  2457790.83326389   0.00166    0.00294  
  2457790.83340278   0.00255    0.00294  
  2457790.83356481   -0.01124   0.00292  
  2457790.83371528   0.00348    0.00294  
  2457790.83385417   4.8E-4     0.00294  
  2457790.83400463   0.00185    0.00294  
  2457790.83415509   -0.00459   0.00293  
  2457790.83430556   0.00559    0.00294  
  2457790.83445602   0.00243    0.00294  
  2457790.83460648   -0.00304   0.00293  
  2457790.83474537   0.00941    0.00295  
  2457790.83489583   0.00564    0.00294  
  2457790.8350463    -0.00239   0.00293  
  2457790.83519676   -0.00526   0.00292  
  2457790.83533565   0.00287    0.00294  
  2457790.83548611   0.00281    0.00294  
  2457790.83563657   0.00591    0.00294  
  2457790.83578704   9.1E-4     0.00293  
  2457790.8359375    0.00105    0.00293  
  2457790.83608796   -0.00178   0.00292  
  2457790.83622685   -8.0E-4    0.00293  
  2457790.83637731   2.2E-4     0.00293  
  2457790.83652778   0.00262    0.00293  
  2457790.83667824   -0.00258   0.00292  
  2457790.8368287    0.00789    0.00294  
  2457790.83697917   0.00325    0.00293  
  2457790.83712963   0.00447    0.00293  
  2457790.83726852   0.00291    0.00293  
  2457790.83741898   0.00485    0.00293  
  2457790.83756944   -6.9E-4    0.00293  
  2457790.83771991   -0.00696   0.00292  
  2457790.83787037   -0.00405   0.00292  
  2457790.83800926   -0.00764   0.00291  
  2457790.83815972   -0.00713   0.00291  
  2457790.83831019   0.00445    0.00293  
  2457790.83846065   -0.00255   0.00292  
  2457790.83859954   0.0085     0.00294  
  2457790.83875      0.00243    0.00293  
  2457790.83890046   0.00387    0.00293  
  2457790.83905093   -0.00195   0.00292  
  2457790.83920139   0.00418    0.00293  
  2457790.83935185   0.00561    0.00293  
  2457790.83949074   0.00167    0.00293  
  2457790.8396412    0.00246    0.00293  
  2457790.83979167   -0.00136   0.00292  
  2457790.83994213   2.1E-4     0.00292  
  2457790.84009259   0.00119    0.00292  
  2457790.84023148   9.2E-4     0.00292  
  2457790.84038194   0.00333    0.00293  
  2457790.84053241   0.00362    0.00293  
  2457790.84068287   -5.2E-4    0.00292  
  2457790.84083333   0.00249    0.00292  
  2457790.8409838    0.00484    0.00293  
  2457790.84112269   -0.00572   0.00292  
  2457790.84127315   -1.7E-4    0.00292  
  2457790.84142361   -0.00155   0.00292  
  2457790.84157407   -0.00765   0.00291  
  2457790.84172454   0.00317    0.00293  
  2457790.84186343   6.7E-4     0.00292  
  2457790.84201389   0.00196    0.00292  
  2457790.84216435   0.00437    0.00293  
  2457790.84231481   0.00155    0.00292  
  2457790.84246528   1.5E-4     0.00292  
  2457790.84260417   0.00155    0.00292  
  2457790.84275463   0.00366    0.00293  
  2457790.84290509   0.00121    0.00292  
  2457790.84305556   -7.5E-4    0.00292  
  2457790.84320602   0.00117    0.00293  
  2457790.84335648   0.00202    0.00293  
  2457790.84349537   0.00344    0.00293  
  2457790.84364583   2.0E-5     0.00293  
  2457790.8437963    -0.0033    0.00292  
  2457790.84394676   -0.00263   0.00292  
  2457790.84409722   0.00733    0.00293  
  2457790.84423611   -0.00242   0.00292  
  2457790.84438657   0.00572    0.00293  
  2457790.84453704   0.00277    0.00293  
  2457790.8446875    -0.00573   0.00291  
  2457790.84483796   0.00877    0.00293  
  2457790.84497685   -6.4E-4    0.00292  
  2457790.84512731   -0.00581   0.00292  
  2457790.84527778   1.6E-4     0.00292  
  2457790.84542824   -0.0042    0.00291  
